word_id,sentence_id,word,label,is_ne,is_spelling_correct
45,1,Gusto,FIL,,TRUE
46,1,kong,FIL,,TRUE
47,1,intindihin,FIL,,TRUE
48,1,pero,FIL,,TRUE
49,1,hindi,FIL,,TRUE
50,1,ko,FIL,,TRUE
51,1,maintindihan,FIL,,TRUE
52,1,hahaha,OTH,EXPR,TRUE
53,1,paano,FIL,,TRUE
54,1,ba,FIL,,TRUE
55,1,itong,FIL,,TRUE
56,1,mga,FIL,,TRUE
57,1,draw,ENG,,TRUE
58,1,na,FIL,,TRUE
59,1,ganyan,FIL,,TRUE
60,1,po,FIL,,TRUE
61,1,?,OTH,,TRUE
62,2,Kaya,FIL,,TRUE
63,2,kayong,FIL,,TRUE
64,2,mga,FIL,,TRUE
65,2,babae,FIL,,TRUE
66,2,wag,FIL,,TRUE
67,2,kayong,FIL,,TRUE
68,2,basta,FIL,,TRUE
69,2,basta,FIL,,TRUE
70,2,magtiwala,FIL,,TRUE
71,2,na,FIL,,TRUE
72,2,kahit,FIL,,TRUE
73,2,kanino,FIL,,TRUE
74,2,kasi,FIL,,TRUE
75,2,.,OTH,,TRUE
76,3,Kasalan,FIL,,FALSE
77,3,naman,FIL,,TRUE
78,3,nila,FIL,,TRUE
79,3,bakit,FIL,,TRUE
80,3,hindi,FIL,,TRUE
81,3,nila,FIL,,TRUE
82,3,sinabi,FIL,,TRUE
83,3,agad,FIL,,TRUE
84,3,ang,FIL,,TRUE
85,3,totuo,FIL,,FALSE
86,3,",",OTH,,TRUE
87,4,At,FIL,,TRUE
88,4,sila-sila,FIL,,TRUE
89,4,rin,FIL,,TRUE
90,4,ang,FIL,,TRUE
91,4,umuunlad,FIL,,TRUE
92,4,?,OTH,,TRUE
93,5,Nakakamiss,FIL,,TRUE
94,5,ung,FIL,,TRUE
95,5,mga,FIL,,TRUE
96,5,gantong,FIL,,TRUE
97,5,content,ENG,,TRUE
98,5,ni,FIL,,TRUE
99,5,kuya,FIL,,TRUE
100,5,lloyd,OTH,NE,TRUE
101,5,.,OTH,,TRUE
113,7,Sa,FIL,,TRUE
114,7,pamamagitan,FIL,,TRUE
115,7,ng,FIL,,TRUE
116,7,pagsunod,FIL,,TRUE
117,7,sa,FIL,,TRUE
118,7,daan,FIL,,TRUE
119,7,na,FIL,,TRUE
120,7,ginawa,FIL,,TRUE
121,7,ng,FIL,,TRUE
122,7,bundok,FIL,,TRUE
123,7,",",OTH,,TRUE
124,7,nagawa,FIL,,TRUE
125,7,ng,FIL,,TRUE
126,7,maliit,FIL,,TRUE
127,7,na,FIL,,TRUE
128,7,sapa,FIL,,TRUE
129,7,na,FIL,,TRUE
130,7,makabalik,FIL,,TRUE
131,7,sa,FIL,,TRUE
132,7,tahanan,FIL,,TRUE
133,7,nito,FIL,,TRUE
134,7,;,OTH,,TRUE
135,7,sumama,FIL,,TRUE
136,7,ito,FIL,,TRUE
137,7,sa,FIL,,TRUE
138,7,ilog,FIL,,TRUE
139,7,",",OTH,,TRUE
140,7,at,FIL,,TRUE
141,7,dumaloy,FIL,,TRUE
142,7,sa,FIL,,TRUE
143,7,dagat,FIL,,TRUE
144,7,.,OTH,,TRUE
145,8,Sana,FIL,,TRUE
146,8,maging,FIL,,TRUE
147,8,ihimplo,FIL,,TRUE
148,8,ka,FIL,,TRUE
149,8,nang,FIL,,TRUE
150,8,mga,FIL,,TRUE
151,8,Youtuber,ENG,,TRUE
152,8,.,OTH,,TRUE
198,11,Dahil,FIL,,TRUE
199,11,dito,FIL,,TRUE
200,11,",",OTH,,TRUE
201,11,48,OTH,,TRUE
202,11,",",OTH,,TRUE
